Parameter Name,Index Men,Value,Transformed Value,Index Women,Value,Transformed Value,Parameter Name in Code
ump first period reg-1,0,7.3111502,1496.89786,0,7.31115015,1496.89786,alfa1,,
married by region - area 5,127,-41.3467000,-41.34670,130,-41.3467,-41.34670,psi1,
married by region - area 6,128,17.1065500,17.10655,131,17.10655,17.10655,psi1,
married by region  - area 7,129,17.1246700,17.12467,132,17.12467,17.12467,psi1,
wife education by region - area 1,130,76.3220000,76.32200,133,76.322,76.32200,psi2,
wife education by region - area 2,131,0.9744400,0.97444,134,0.97444,0.97444,psi2,
wife education by region - area 3,132,-13.8111000,-13.81110,135,-13.8111,-13.81110,psi2,
wife education by region - area 4,133,6.1256788,6.12568,136,6.1256788,6.12568,psi2,
wife education by region - area 5,134,6.2377000,6.23770,137,6.2377,6.23770,psi2,
wife education by region - area 6,135,6.1877700,6.18777,138,6.18777,6.18777,psi2,
wife education by region - area 7,136,4.1789500,4.17895,139,4.17895,4.17895,psi2,
married*kids by region - area 1,137,10.1422320,10.14223,140,10.142232,10.14223,psi3,
married*kids by region - area 2,138,5.8246770,5.82468,141,5.824677,5.82468,psi3,
married*kids by region - area 3,139,-18.6533980,-18.65340,142,-18.653398,-18.65340,psi3,
married*kids by region - area 4,140,6.1255680,6.12557,143,6.125568,6.12557,psi3,
married*kids by region - area 5,141,8.9165400,8.91654,144,8.91654,8.91654,psi3,
married*kids by region - area 6,142,4.6270000,4.62700,145,4.627,4.62700,psi3,
married*kids by region - area 7,143,15.7657000,15.76570,146,15.7657,15.76570,psi3,
married*age by region - area 1 - Tel-Aviv,144,11.8811100,11.88111,147,11.88111,11.88111,psi4,
married*age by region - area 2 - Sharon,145,4.3444440,4.34444,148,4.344444,4.34444,psi4,
married*age by region - area 3 - shfela,146,-3.1220000,-3.12200,149,-3.122,-3.12200,psi4,
married*age by region - area 4 - Haifa,147,5.2220000,5.22200,150,5.222,5.22200,psi4,
married*age by region - area 5 - Galil,148,7.6125990,7.61260,151,7.612599,7.61260,psi4,
married*age by region - area 6 - Negev,149,8.1260000,8.12600,152,8.126,8.12600,psi4,
married*age by region - area 7 - Jerusalem,150,7.1456000,7.14560,153,7.1456,7.14560,psi4,
kids w,N/A,,,154,0,,lamda29,
kids b full,N/A,,,155,-10,,lamda39,
kids b part,N/A,,,156,-0.7,,lamda49,
women age w,N/A,,,157,0.260193,,lamda29_1,
women age b full,N/A,,,158,1.178,,lamda39_1,
women age b part,N/A,,,159,1.1732,,lamda49_1,
return for leisure at unemployment,N/A,,,160,1000,,alfa3,
hustband's education influence on moving cost,N/A,,,161,0.5,,alfa20,
